Tournament,Date,Surface,Round,player_0,player_0_rank,player_0_odd,player_1,player_1_rank,player_1_odd,outcome,player_0_match_win_percent,player_1_match_win_percent,player_0_games_win_percent,player_1_games_win_percent,player_0_5_set_match_win_percent,player_1_5_set_match_win_percent,player_0_close_sets_percent,player_1_close_sets_percent,player_0_match_win_percent_hard,player_1_match_win_percent_hard,player_0_games_win_percent_hard,player_1_games_win_percent_hard,player_0_5_set_match_win_percent_hard,player_1_5_set_match_win_percent_hard,player_0_close_sets_percent_hard,player_1_close_sets_percent_hard,player_0_match_win_percent_52,player_1_match_win_percent_52,player_0_games_win_percent_52,player_1_games_win_percent_52,player_0_5_set_match_win_percent_52,player_1_5_set_match_win_percent_52,player_0_close_sets_percent_52,player_1_close_sets_percent_52,player_0_match_win_percent_hard_60,player_1_match_win_percent_hard_60,player_0_games_win_percent_hard_60,player_1_games_win_percent_hard_60,player_0_5_set_match_win_percent_hard_60,player_1_5_set_match_win_percent_hard_60,player_0_close_sets_percent_hard_60,player_1_close_sets_percent_hard_60,player_0_match_win_percent_hh,player_1_match_win_percent_hh,player_0_games_win_percent_hh,player_1_games_win_percent_hh,player_0_match_win_percent_hard_hh,player_1_match_win_percent_hard_hh,player_0_games_win_percent_hard_hh,player_1_games_win_percent_hard_hh,diff_rank,diff_match_win_percent,diff_games_win_percent,diff_5_set_match_win_percent,diff_close_sets_percent,diff_match_win_percent_hard,diff_games_win_percent_hard,diff_5_set_match_win_percent_hard,diff_close_sets_percent_hard,diff_match_win_percent_52,diff_games_win_percent_52,diff_5_set_match_win_percent_52,diff_close_sets_percent_52,diff_match_win_percent_hard_60,diff_games_win_percent_hard_60,diff_5_set_match_win_percent_hard_60,diff_close_sets_percent_hard_60,diff_match_win_percent_hh,diff_games_win_percent_hh,diff_match_win_percent_hard_hh,diff_games_win_percent_hard_hh
US Open,2010/08/30,Hard,1st Round,Mayer L.,79,1.36,Rufin G.,206,3,1,0.4603174603,0.5,0.5018703242,0.4887640449,0.4545454545,0.3333333333,0.5071090047,0.4166666667,0.4166666667,0.5,0.4841735053,0.4715447154,0.3333333333,0,0.4649122807,0.4285714286,0.3888888889,0.5,0.4799154334,0.4715447154,0.4285714286,0,0.4754098361,0.4285714286,0.4117647059,0.5,0.4821648216,0.4715447154,0.3333333333,0,0.462962963,0.4285714286,0,0,0,0,0,0,0,0,-127,-0.03968253968,0.01310627925,0.1212121212,0.09044233807,-0.08333333333,0.01262878983,0.3333333333,0.03634085213,-0.1111111111,0.008370717957,0.4285714286,0.04683840749,-0.08823529412,0.0106201062,0.3333333333,0.03439153439,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Ball C.,145,2,Raonic M.,247,1.72,0,0.4,0,0.4543378995,0.4528301887,0.25,0,0.393442623,0.3333333333,0.4166666667,0,0.4683544304,0.4528301887,0.2,0,0.3913043478,0.3333333333,0.3333333333,0,0.4539249147,0.4,0.3333333333,0,0.4102564103,0,0.5,0,0.5019011407,0.4528301887,0.3333333333,0,0.4722222222,0.3333333333,0,0,0,0,0,0,0,0,-102,0.4,0.001507710864,0.25,0.06010928962,0.4166666667,0.0155242417,0.2,0.05797101449,0.3333333333,0.05392491468,0.3333333333,0.4102564103,0.5,0.04907095201,0.3333333333,0.1388888889,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Roddick A.,9,1.01,Robert S.,78,13,0,0.7752808989,0.4074074074,0.5608421053,0.4724770642,0.7529411765,0.25,0.6308562197,0.4382022472,0.7803921569,0.5833333333,0.5639774287,0.5017793594,0.7659574468,0.5,0.6379511059,0.475,0.7735849057,0.4074074074,0.5540720961,0.4724770642,0.7333333333,0.25,0.6349206349,0.4382022472,0.7777777778,0.5833333333,0.5521557719,0.5017793594,0.75,0.5,0.6573033708,0.475,0,0,0,0,0,0,0,0,-69,0.3678734915,0.08836504104,0.5029411765,0.1926539725,0.1970588235,0.06219806927,0.2659574468,0.1629511059,0.3661774983,0.08159503191,0.4833333333,0.1967183877,0.1944444444,0.05037641247,0.25,0.1823033708,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Sweeting R.,113,2.2,Berankis R.,124,1.61,1,0.2727272727,0.4285714286,0.437947494,0.4919786096,0,0.5,0.3873873874,0.44,0.2962962963,0.6666666667,0.44245142,0.5405405405,0,0,0.393258427,0.6666666667,0.3076923077,0.6,0.4441176471,0.5298013245,0,0.5,0.3777777778,0.5789473684,0.3636363636,0.6666666667,0.447761194,0.5405405405,0,0,0.4,0.6666666667,0,0,0,0,0,0,0,0,-11,-0.1558441558,-0.05403111559,-0.5,-0.05261261261,-0.3703703704,-0.09808912051,0,-0.2734082397,-0.2923076923,-0.08568367744,-0.5,-0.2011695906,-0.303030303,-0.09277934651,0,-0.2666666667,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Montanes A.,23,1.36,Przysiezny M.,90,3,0,0.4870689655,0.1578947368,0.4886180319,0.4352226721,0.3611111111,0.25,0.44921875,0.3538461538,0.320754717,0,0.4411535464,0.4552238806,0.08333333333,0,0.349726776,0.5714285714,0.6111111111,0.125,0.5266768293,0.4403669725,0.5555555556,0.3333333333,0.5111111111,0.3333333333,0.4375,0,0.4751243781,0.4923076923,0.3333333333,0,0.4259259259,0.6666666667,0,0,0,0,0,0,0,0,-67,0.3291742287,0.05339535984,0.1111111111,0.09537259615,0.320754717,-0.01407033422,0.08333333333,-0.2217017955,0.4861111111,0.08630985679,0.2222222222,0.1777777778,0.4375,-0.0171833142,0.3333333333,-0.2407407407,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Tipsarevic J.,44,1.5,Rochus O.,74,2.5,0,0.4820512821,0.5,0.4935490083,0.4983435048,0.5263157895,0.4736842105,0.4841149773,0.4727979275,0.4891304348,0.5317460317,0.5024875622,0.5058214748,0.5,0.5,0.5065789474,0.4880382775,0.5853658537,0.475,0.5217391304,0.4884937238,0.2,0.3333333333,0.5187969925,0.4242424242,0.6060606061,0.4782608696,0.53125,0.4916512059,0.3333333333,0.3333333333,0.5523809524,0.4266666667,0,1,0.42,0.58,0,1,0.42,0.58,-30,-0.01794871795,-0.004794496515,0.05263157895,0.01131704985,-0.04261559696,-0.003333912585,0,0.01854066986,0.1103658537,0.03324540659,-0.1333333333,0.09455456824,0.1277997365,0.03959879406,0,0.1257142857,-1,-0.16,-1,-0.16
US Open,2010/08/30,Hard,1st Round,Falla A.,65,1.83,Dent T.,72,1.83,1,0.3789473684,0.5,0.4697523346,0.5061638869,0.4090909091,0.5454545455,0.4255319149,0.4972375691,0.3793103448,0.5125,0.4646393211,0.5128458498,0.5,0.5384615385,0.4263157895,0.5037593985,0.4193548387,0.4137931034,0.4753004005,0.4802469136,0.4285714286,0.5555555556,0.4112149533,0.4285714286,0.4347826087,0.4074074074,0.476618705,0.485021398,0.5,0.6,0.4415584416,0.4065934066,0,0,0,0,0,0,0,0,-7,-0.1210526316,-0.03641155232,-0.1363636364,-0.07170565417,-0.1331896552,-0.04820652873,-0.03846153846,-0.07744360902,0.005561735261,-0.004946513046,-0.126984127,-0.0173564753,0.02737520129,-0.008402692967,-0.1,0.03496503497,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Anderson K.,77,1.36,Devvarman S.,98,3,0,0.3958333333,0.4838709677,0.4819091609,0.4895104895,0,0.3333333333,0.5192307692,0.4747474747,0.46875,0.5416666667,0.4833948339,0.5009208103,0,0.5,0.4901960784,0.4868421053,0.4230769231,0.4,0.4907010014,0.4789356984,0,0.3333333333,0.5595238095,0.4242424242,0.5,0.4444444444,0.4917647059,0.487244898,0,0.5,0.5178571429,0.4482758621,0,0,0,0,0,0,0,0,-21,-0.08803763441,-0.007601328617,-0.3333333333,0.04448329448,-0.07291666667,-0.01752597636,-0.5,0.003353973168,0.02307692308,0.01176530298,-0.3333333333,0.1352813853,0.05555555556,0.004519807923,-0.5,0.06958128079,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Berrer M.,49,1.5,Beck A.,104,2.5,1,0.3771929825,0.44,0.4753582663,0.4902451226,0.2777777778,0.4285714286,0.4497354497,0.4822134387,0.4225352113,0.3913043478,0.4879686626,0.4844517185,0.3333333333,0.5,0.4767932489,0.4197530864,0.4210526316,0.375,0.4859611231,0.4700854701,0.25,0.5,0.4836065574,0.4074074074,0.4666666667,0.3529411765,0.49932341,0.462962963,0.3333333333,0.5,0.5208333333,0.3818181818,0,0,0,0,0,0,0,0,-55,-0.06280701754,-0.01488685622,-0.1507936508,-0.032477989,0.03123086344,0.003516944069,-0.1666666667,0.05704016253,0.04605263158,0.01587565302,-0.25,0.07619914997,0.1137254902,0.03636044705,-0.1666666667,0.1390151515,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Hewitt L.,34,1.22,Mathieu P.H.,109,4,1,0.6923076923,0.5354609929,0.5504901198,0.5138121547,0.725,0.6170212766,0.5788863109,0.4989361702,0.6666666667,0.5227272727,0.5457875458,0.5039489672,0.7027027027,0.5,0.5750988142,0.4929906542,0.6176470588,0.32,0.5392376682,0.4585889571,0.6666666667,0.6,0.5079365079,0.4352941176,0.56,0.4210526316,0.5326797386,0.4820295983,0.6666666667,0,0.4942528736,0.5254237288,1,0,0.7272727273,0.2727272727,1,0,0.7272727273,0.2727272727,-75,0.1568466994,0.03667796511,0.1079787234,0.07995014069,0.1439393939,0.04183857859,0.2027027027,0.08210816002,0.2976470588,0.08064871111,0.06666666667,0.07264239029,0.1389473684,0.05065014025,0.6666666667,-0.03117085525,1,0.4545454545,1,0.4545454545
US Open,2010/08/30,Hard,1st Round,Bellucci T.,28,1.33,Smyczek T.,186,3.25,0,0.5106382979,0.2,0.4933938893,0.4380952381,0.5294117647,0,0.4841772152,0.3333333333,0.3947368421,0.2,0.4758064516,0.4380952381,0.4285714286,0,0.4375,0.3333333333,0.5862068966,0.25,0.5119128659,0.4534883721,0.6363636364,0,0.5051020408,0.4166666667,0.5,0.25,0.4954545455,0.4534883721,0.5,0,0.4651162791,0.4166666667,0,0,0,0,0,0,0,0,-158,0.3106382979,0.05529865125,0.5294117647,0.1508438819,0.1947368421,0.03771121352,0.4285714286,0.1041666667,0.3362068966,0.0584244938,0.6363636364,0.08843537415,0.25,0.04196617336,0.5,0.0484496124,0,0,0,0
US Open,2010/08/31,Hard,1st Round,Federer R.,2,1.005,Dabul B.,96,21,0,0.8792710706,0.3793103448,0.5961292523,0.4801178203,0.9151515152,0.2,0.6472374013,0.4226804124,0.8774703557,0.4285714286,0.5979010495,0.4589041096,0.9390243902,0.5,0.6608884074,0.32,0.7627118644,0.5714285714,0.5710872162,0.5,0.8695652174,0,0.6322869955,0.4285714286,0.7954545455,0.4,0.5755860954,0.4489795918,0.9285714286,0,0.6625,0.3333333333,0,0,0,0,0,0,0,0,-94,0.4999607258,0.116011432,0.7151515152,0.224556989,0.4488989272,0.1389969399,0.4390243902,0.3408884074,0.191283293,0.07108721625,0.8695652174,0.2037155669,0.3954545455,0.1266065036,0.9285714286,0.3291666667,0,0,0,0
US Open,2010/08/31,Hard,1st Round,Baghdatis M.,18,1.07,Clement A.,68,7.5,1,0.6056910569,0.4594594595,0.5237802062,0.4906035417,0.6296296296,0.4,0.5472813239,0.4510869565,0.6064516129,0.4651162791,0.5210813492,0.4911660777,0.6923076923,0.3333333333,0.5512572534,0.4436450839,0.6451612903,0.45,0.53145917,0.4876033058,0.6666666667,0.4,0.5353535354,0.4538461538,0.6734693878,0.4285714286,0.5368331922,0.4835680751,1,0,0.5695364238,0.4534883721,0.8,0.2,0.5573770492,0.4426229508,0.8,0.2,0.5573770492,0.4426229508,-50,0.1462315975,0.03317666451,0.2296296296,0.09619436736,0.1413353338,0.02991527147,0.358974359,0.1076121695,0.1951612903,0.04385586423,0.2666666667,0.08150738151,0.2448979592,0.05326511709,1,0.1160480517,0.6,0.1147540984,0.6,0.1147540984
