,Date,P1,P2,Result,Score,Set1,Set2,Set3,Set4,Set5,Court_Type,Tournament
f171fe4d6ad9e96e22852978dbe7b183,21/02/2021,Djokovic N. (Srb),Medvedev D. (Rus),1.0,3-0,7-5,6-2,6-2,,,hard,ATP - SINGLES: Australian Open (Australia)
c2d2f3bb43a2be057631bc98e10485a7,18/02/2021,Djokovic N. (Srb),Karatsev A. (Rus),1.0,3-0,6-3,6-4,6-2,,,hard,ATP - SINGLES: Australian Open (Australia)
4296e7b2c843640af1b384f1bd68dd16,16/02/2021,Djokovic N. (Srb),Zverev A. (Ger),1.0,3-1,6-7,6-2,6-4,7-6,,hard,ATP - SINGLES: Australian Open (Australia)
4af4ef0bcebf7a8f68befab9babe731b,14/02/2021,Djokovic N. (Srb),Raonic M. (Can),1.0,3-1,7-6,4-6,6-1,6-4,,hard,ATP - SINGLES: Australian Open (Australia)
5adf5dc0688ae0c830ee76b0d1c72acc,12/02/2021,Djokovic N. (Srb),Fritz T. (Usa),1.0,3-2,7-6,6-4,3-6,4-6,6-2,hard,ATP - SINGLES: Australian Open (Australia)
545e7dec0e61eef88987bae74a8af763,10/02/2021,Djokovic N. (Srb),Tiafoe F. (Usa),1.0,3-1,6-3,6-7,7-6,6-3,,hard,ATP - SINGLES: Australian Open (Australia)
4b1fcc0c5067d8ed99b7fe5e2ca51226,08/02/2021,Djokovic N. (Srb),Chardy J. (Fra),1.0,3-0,6-3,6-1,6-2,,,hard,ATP - SINGLES: Australian Open (Australia)
a5f0892de4b39d751e20335c540a1a1f,05/02/2021,Djokovic N. (Srb),Zverev A. (Ger),1.0,2-1,6-7,6-2,7-5,,,hard,ATP - SINGLES: ATP Cup (Australia)
7c1318706dbc3ecc49e3ee1ea3570964,02/02/2021,Djokovic N. (Srb),Shapovalov D. (Can),1.0,2-0,7-5,7-5,,,,hard,ATP - SINGLES: ATP Cup (Australia)
7d359d4ace53d442f2697c7be8c4fdb9,29/01/2021,Djokovic N. (Srb),Sinner J. (Ita),1.0,1-0,6-3,,,,,hard,EXHIBITION - MEN: A Day at the Drive (Australia)
da873ba7e88569c9e0c0c97ba21c84eb,21/11/2020,Thiem D. (Aut),Djokovic N. (Srb),1.0,2-1,7-5,60-72,7-6,,,hard (indoor),ATP - SINGLES: Finals - London (World) - Play Offs
e030ea578ce4f7b806a0cb1618ef9f90,20/11/2020,Djokovic N. (Srb),Zverev A. (Ger),1.0,2-0,6-3,7-6,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
6608d902a935be770d2b2dd5c7e60223,18/11/2020,Djokovic N. (Srb),Medvedev D. (Rus),-1.0,0-2,3-6,3-6,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
29b212b044ac27aac21d929240ccd1c7,16/11/2020,Djokovic N. (Srb),Schwartzman D. (Arg),1.0,2-0,6-3,6-2,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
adae5617807bff6c90f6906feae0449a,30/10/2020,Djokovic N. (Srb),Sonego L. (Ita),-1.0,0-2,2-6,1-6,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
314398922d13c2c60b1d79d96ebb7aa5,28/10/2020,Djokovic N. (Srb),Coric B. (Cro),1.0,2-0,73-61,6-3,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
7b5b6625a2c0f43d0dbc358acac91176,27/10/2020,Djokovic N. (Srb),Krajinovic F. (Srb),1.0,2-0,7-6,6-3,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
a900c4359fd0b2ce151a8a102cb9e75a,11/10/2020,Djokovic N. (Srb),Nadal R. (Esp),-1.0,0-3,0-6,2-6,5-7,,,clay,ATP - SINGLES: French Open (France)
8da57d354d1cf56ca60605046df2f62e,09/10/2020,Djokovic N. (Srb),Tsitsipas S. (Gre),1.0,3-2,6-3,6-2,5-7,4-6,6-1,clay,ATP - SINGLES: French Open (France)
c86a6dc2d781e756a85c0017989e1582,07/10/2020,Djokovic N. (Srb),Carreno-Busta P. (Esp),1.0,3-1,4-6,6-2,6-3,6-4,,clay,ATP - SINGLES: French Open (France)
deb10ed65b80dd4c0ccd9260a5fd8a98,05/10/2020,Djokovic N. (Srb),Khachanov K. (Rus),1.0,3-0,6-4,6-3,6-3,,,clay,ATP - SINGLES: French Open (France)
5c70355da0433f5fd91f073df4ef3c19,03/10/2020,Djokovic N. (Srb),Galan Riveros D. E. (Col),1.0,3-0,6-0,6-3,6-2,,,clay,ATP - SINGLES: French Open (France)
c8457ca1287d4f9f32fffc894d32600f,01/10/2020,Djokovic N. (Srb),Berankis R. (Ltu),1.0,3-0,6-1,6-2,6-2,,,clay,ATP - SINGLES: French Open (France)
ee2bc482651a24b4e7c72bfc3c8d2083,29/09/2020,Djokovic N. (Srb),Ymer M. (Swe),1.0,3-0,6-0,6-2,6-3,,,clay,ATP - SINGLES: French Open (France)
1070bffefd05e934e4144de309aa8cc6,21/09/2020,Djokovic N. (Srb),Schwartzman D. (Arg),1.0,2-0,7-5,6-3,,,,clay,ATP - SINGLES: Rome (Italy)
d0fb7a22c0871cd4071689595c31b6bd,20/09/2020,Djokovic N. (Srb),Ruud C. (Nor),1.0,2-0,7-5,6-3,,,,clay,ATP - SINGLES: Rome (Italy)
0af4d5f1a3910d26092aee12e353b0c2,19/09/2020,Djokovic N. (Srb),Koepfer D. (Ger),1.0,2-1,6-3,4-6,6-3,,,clay,ATP - SINGLES: Rome (Italy)
d18791162471c2f8b762d44159651574,18/09/2020,Djokovic N. (Srb),Krajinovic F. (Srb),1.0,2-0,7-6,6-3,,,,clay,ATP - SINGLES: Rome (Italy)
6eb46b3f222ed7c9c6ff1997cd2b4eab,16/09/2020,Djokovic N. (Srb),Caruso S. (Ita),1.0,2-0,6-3,6-2,,,,clay,ATP - SINGLES: Rome (Italy)
e486dcc3136799ece94e3f840d820f60,06/09/2020,Djokovic N. (Srb),Carreno-Busta P. (Esp),-1.0,0-0,5-6,,,,,hard,ATP - SINGLES: US Open (USA)
b97494b734d30de55991b58e8480d8ef,05/09/2020,Djokovic N. (Srb),Struff J-L. (Ger),1.0,3-0,6-3,6-3,6-1,,,hard,ATP - SINGLES: US Open (USA)
ecd044874dc98291357bd9c45f5208a6,02/09/2020,Djokovic N. (Srb),Edmund K. (Gbr),1.0,3-1,6-7,6-3,6-4,6-2,,hard,ATP - SINGLES: US Open (USA)
d21528066fe899db91772bef370b1069,01/09/2020,Djokovic N. (Srb),Dzumhur D. (Bih),1.0,3-0,6-1,6-4,6-1,,,hard,ATP - SINGLES: US Open (USA)
4a4971468c8ff88731118b3ce0307d62,29/08/2020,Djokovic N. (Srb),Raonic M. (Can),1.0,2-1,1-6,6-3,6-4,,,hard,ATP - SINGLES: Cincinnati (USA)
15837b750baca32967c4e4fcab68a4e3,28/08/2020,Djokovic N. (Srb),Bautista-Agut R. (Esp),1.0,2-1,4-6,6-4,7-6,,,hard,ATP - SINGLES: Cincinnati (USA)
2e6fc827a336f2b79ae5f9ae82bec4e3,26/08/2020,Djokovic N. (Srb),Struff J-L. (Ger),1.0,2-0,6-3,6-1,,,,hard,ATP - SINGLES: Cincinnati (USA)
1891658b5c74362f6f0f45bd6fb209ef,25/08/2020,Djokovic N. (Srb),Sandgren T. (Usa),1.0,2-0,6-2,6-4,,,,hard,ATP - SINGLES: Cincinnati (USA)
48ad8ce66470e92c30d3899b3275075e,25/08/2020,Djokovic N. (Srb),Berankis R. (Ltu),1.0,2-0,7-6,6-4,,,,hard,ATP - SINGLES: Cincinnati (USA)
27bed46b1b7144d6fe30a87b2ceb21b4,21/06/2020,Djokovic N. (Srb),Serdarusic N. (Cro),1.0,2-0,4-1,4-3,,,,clay,EXHIBITION - MEN: Adria Tour (Croatia) (Europe)
e27ba6e821a3fef058319e49b424d04b,20/06/2020,Djokovic N. (Srb),Coric B. (Cro),1.0,2-0,4-1,4-3,,,,clay,EXHIBITION - MEN: Adria Tour (Croatia) (Europe)
717085bdf86ced07d4baf6c43c9b743b,20/06/2020,Djokovic N. (Srb),Krstin P. (Srb),1.0,2-0,4-3,4-1,,,,clay,EXHIBITION - MEN: Adria Tour (Croatia) (Europe)
8392f2f132c0f7ba463f48a6912fccc0,14/06/2020,Djokovic N. (Srb),Zverev A. (Ger),1.0,2-1,4-0,1-4,4-2,,,clay,EXHIBITION - MEN: Adria Tour (Serbia) (Europe)
8a24f12a495a40cb2ebc3c4553a99920,13/06/2020,Djokovic N. (Srb),Krajinovic F. (Srb),-1.0,1-2,4-2,2-4,1-4,,,clay,EXHIBITION - MEN: Adria Tour (Serbia) (Europe)
27f4372ffe9d79034bb5b2f9baa52c17,13/06/2020,Djokovic N. (Srb),Troicki V. (Srb),1.0,2-0,4-1,4-1,,,,clay,EXHIBITION - MEN: Adria Tour (Serbia) (Europe)
2321f54fbd8ce7a93e7d4277c3f9ff44,29/02/2020,Djokovic N. (Srb),Tsitsipas S. (Gre),1.0,2-0,6-3,6-4,,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
11d2b52cd69c9f0a7263ac5adf58fbf7,28/02/2020,Djokovic N. (Srb),Monfils G. (Fra),1.0,2-1,2-6,70-6,6-1,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
e685a5ba7b2e93db938a8a8eb75ff7b4,27/02/2020,Djokovic N. (Srb),Khachanov K. (Rus),1.0,2-0,6-2,6-2,,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
694c2af14e66822cccf527c17f0b0922,26/02/2020,Djokovic N. (Srb),Kohlschreiber P. (Ger),1.0,2-0,6-3,6-1,,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
0f14df58e1f4becf15b3976945c213b0,24/02/2020,Djokovic N. (Srb),Jaziri M. (Tun),1.0,2-0,6-1,6-2,,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
6e726ad601bfa9070ddeb60ce3df049d,02/02/2020,Thiem D. (Aut),Djokovic N. (Srb),-1.0,2-3,4-6,6-4,6-2,3-6,4-6,hard,ATP - SINGLES: Australian Open (Australia)
28d4cca16fcc09eddf7eefa6323dc65e,30/01/2020,Federer R. (Sui),Djokovic N. (Srb),-1.0,0-3,6-7,4-6,3-6,,,hard,ATP - SINGLES: Australian Open (Australia)
afd35442dd8b534acf28abdbfef6a3ba,28/01/2020,Raonic M. (Can),Djokovic N. (Srb),-1.0,0-3,4-6,3-6,6-7,,,hard,ATP - SINGLES: Australian Open (Australia)
2ed3975529455c52b250747c0c1e0152,26/01/2020,Schwartzman D. (Arg),Djokovic N. (Srb),-1.0,0-3,3-6,4-6,4-6,,,hard,ATP - SINGLES: Australian Open (Australia)
09d7c50ada11dc15887efdb09f9aaafd,24/01/2020,Nishioka Y. (Jpn),Djokovic N. (Srb),-1.0,0-3,3-6,2-6,2-6,,,hard,ATP - SINGLES: Australian Open (Australia)
1c02bf6ddaafcf0ead4954d897018c89,22/01/2020,Ito T. (Jpn),Djokovic N. (Srb),-1.0,0-3,1-6,4-6,2-6,,,hard,ATP - SINGLES: Australian Open (Australia)
2da691c26f54a79dba2011612d115ac3,20/01/2020,Struff J-L. (Ger),Djokovic N. (Srb),-1.0,1-3,6-7,2-6,6-2,1-6,,hard,ATP - SINGLES: Australian Open (Australia)
a7342d23af6e8d53408f268e00b9c16a,12/01/2020,Djokovic N. (Srb),Nadal R. (Esp),1.0,2-0,6-2,7-6,,,,hard,ATP - SINGLES: ATP Cup (Australia) - Play Offs
09032f2eecfd5ee68b9343833bd776cd,11/01/2020,Djokovic N. (Srb),Medvedev D. (Rus),1.0,2-1,6-1,5-7,6-4,,,hard,ATP - SINGLES: ATP Cup (Australia) - Play Offs
96fd8b52f28dd876e965952176c8ce53,10/01/2020,Djokovic N. (Srb),Shapovalov D. (Can),1.0,2-1,4-6,6-1,7-6,,,hard,ATP - SINGLES: ATP Cup (Australia) - Play Offs
ab03265fce0802a393ed72eea0f0780e,08/01/2020,Djokovic N. (Srb),Garin C. (Chi),1.0,2-0,6-3,6-3,,,,hard,ATP - SINGLES: ATP Cup (Australia)
fcb3582484367491302edff8273c62d0,06/01/2020,Djokovic N. (Srb),Monfils G. (Fra),1.0,2-0,6-3,6-2,,,,hard,ATP - SINGLES: ATP Cup (Australia)
74ce4e0c5b01530f59d4d159a4522aca,04/01/2020,Djokovic N. (Srb),Anderson K. (Rsa),1.0,2-0,7-6,7-6,,,,hard,ATP - SINGLES: ATP Cup (Australia)
28e7134c6b525c351ee7e8c1eab1f874,17/02/2021,Tsitsipas S. (Gre),Nadal R. (Esp),1.0,3-2,3-6,2-6,7-6,6-4,7-5,hard,ATP - SINGLES: Australian Open (Australia)
73a72cdf84d3cdfc2348fb20e8e382ad,15/02/2021,Fognini F. (Ita),Nadal R. (Esp),-1.0,0-3,3-6,4-6,2-6,,,hard,ATP - SINGLES: Australian Open (Australia)
66fac18a7e52f7087086d38d7823ea96,13/02/2021,Norrie C. (Gbr),Nadal R. (Esp),-1.0,0-3,5-7,2-6,5-7,,,hard,ATP - SINGLES: Australian Open (Australia)
f29f4b8d9527d34aa1db24665058d8a6,11/02/2021,Mmoh M. (Usa),Nadal R. (Esp),-1.0,0-3,1-6,4-6,2-6,,,hard,ATP - SINGLES: Australian Open (Australia)
c0bda9a9f0dea6592a7eba9726615811,09/02/2021,Djere L. (Srb),Nadal R. (Esp),-1.0,0-3,3-6,4-6,1-6,,,hard,ATP - SINGLES: Australian Open (Australia)
efbc72eb6c82529266e27060d270427f,29/01/2021,Nadal R. (Esp),Thiem D. (Aut),1.0,2-0,7-5,6-4,,,,hard,EXHIBITION - MEN: A Day at the Drive (Australia)
cc8b0199a4e71602aacd8758882b5ed1,21/11/2020,Medvedev D. (Rus),Nadal R. (Esp),1.0,2-1,3-6,7-6,6-3,,,hard (indoor),ATP - SINGLES: Finals - London (World) - Play Offs
cc314cdf6887dcfa0aed0d8306db25f2,19/11/2020,Nadal R. (Esp),Tsitsipas S. (Gre),1.0,2-1,6-4,4-6,6-2,,,hard (indoor),ATP - SINGLES: Finals - London (World)
5bb04291e9680ac7438fe709e88448a0,17/11/2020,Nadal R. (Esp),Thiem D. (Aut),-1.0,0-2,6-7,6-7,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
1432a05161afd15f17fa1c291a81e796,15/11/2020,Nadal R. (Esp),Rublev A. (Rus),1.0,2-0,6-3,6-4,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
687cbb77f48aaf958fc4cdc80e536e9c,07/11/2020,Nadal R. (Esp),Zverev A. (Ger),-1.0,0-2,4-6,5-7,,,,hard (indoor),ATP - SINGLES: Paris (France)
862dba94f80a66003916ad652e844e72,06/11/2020,Nadal R. (Esp),Carreno-Busta P. (Esp),1.0,2-1,4-6,7-5,6-1,,,hard (indoor),ATP - SINGLES: Paris (France)
81c3fcea536773ac54f6b89347b701b3,05/11/2020,Nadal R. (Esp),Thompson J. (Aus),1.0,2-0,6-1,7-6,,,,hard (indoor),ATP - SINGLES: Paris (France)
e1137745f3883d41047c86568ab0521b,04/11/2020,Nadal R. (Esp),Lopez F. (Esp),1.0,2-1,4-6,7-6,6-4,,,hard (indoor),ATP - SINGLES: Paris (France)
b9b68aa1064968efa3cf9646ccd1770d,09/10/2020,Schwartzman D. (Arg),Nadal R. (Esp),-1.0,0-3,3-6,3-6,6-7,,,clay,ATP - SINGLES: French Open (France)
2bed1e5bfd103eec51b4e332dd889418,06/10/2020,Sinner J. (Ita),Nadal R. (Esp),-1.0,0-3,6-7,4-6,1-6,,,clay,ATP - SINGLES: French Open (France)
99b4c64adc05c2491106c12aa5f4b2d0,04/10/2020,Korda S. (Usa),Nadal R. (Esp),-1.0,0-3,1-6,1-6,2-6,,,clay,ATP - SINGLES: French Open (France)
796b9c63bded4fd49e2bcb0ab5be3adf,02/10/2020,Travaglia S. (Ita),Nadal R. (Esp),-1.0,0-3,1-6,4-6,0-6,,,clay,ATP - SINGLES: French Open (France)
240408bc83fbe2b8d173cf3550938af3,30/09/2020,McDonald M. (Usa),Nadal R. (Esp),-1.0,0-3,1-6,0-6,3-6,,,clay,ATP - SINGLES: French Open (France)
a52af67ed84b4a614fd553ec3ce4b10c,28/09/2020,Gerasimov E. (Blr),Nadal R. (Esp),-1.0,0-3,4-6,4-6,2-6,,,clay,ATP - SINGLES: French Open (France)
2755509fea59a07b7c20664192343354,19/09/2020,Schwartzman D. (Arg),Nadal R. (Esp),1.0,2-0,6-2,7-5,,,,clay,ATP - SINGLES: Rome (Italy)
7f02f122191671ab3a2a6671d1df7354,18/09/2020,Lajovic D. (Srb),Nadal R. (Esp),-1.0,0-2,1-6,3-6,,,,clay,ATP - SINGLES: Rome (Italy)
efd8baf8240ee7ff91adeecc4efdfb1b,16/09/2020,Carreno-Busta P. (Esp),Nadal R. (Esp),-1.0,0-2,1-6,1-6,,,,clay,ATP - SINGLES: Rome (Italy)
9649d68eaaf2bf3a12b59f5f7de76523,01/03/2020,Nadal R. (Esp),Fritz T. (Usa),1.0,2-0,6-3,6-2,,,,hard,ATP - SINGLES: Acapulco (Mexico)
dc49c9385d73b1e086aa6de49e6f0c1b,29/02/2020,Nadal R. (Esp),Dimitrov G. (Bul),1.0,2-0,6-3,6-2,,,,hard,ATP - SINGLES: Acapulco (Mexico)
a17eec2b13e36aeb6c29c111c59e967b,28/02/2020,Nadal R. (Esp),Kwon Soonwoo (Kor),1.0,2-0,6-2,6-1,,,,hard,ATP - SINGLES: Acapulco (Mexico)
53e75dabcf0924286f6c2cdc233ce8b5,27/02/2020,Nadal R. (Esp),Kecmanovic M. (Srb),1.0,2-0,6-2,7-5,,,,hard,ATP - SINGLES: Acapulco (Mexico)
fcabe1c422387f5c8e11b8d180f66a8f,26/02/2020,Nadal R. (Esp),Andujar-Alba P. (Esp),1.0,2-0,6-3,6-2,,,,hard,ATP - SINGLES: Acapulco (Mexico)
71763928d8cb8b75f2bb02921a6c0ad2,07/02/2020,Federer R. (Sui),Nadal R. (Esp),1.0,2-1,6-4,3-6,6-3,,,hard (indoor),EXHIBITION - MEN: Match for Africa (World)
924549ec38f2468c7412dca5c0a750e5,29/01/2020,Nadal R. (Esp),Thiem D. (Aut),-1.0,1-3,6-7,6-7,6-4,6-7,,hard,ATP - SINGLES: Australian Open (Australia)
0cce408f9216634431145b83afc9748a,27/01/2020,Nadal R. (Esp),Kyrgios N. (Aus),1.0,3-1,6-3,3-6,7-6,7-6,,hard,ATP - SINGLES: Australian Open (Australia)
7e2e4c9882f2b82e685e7cc5e48f9b50,25/01/2020,Nadal R. (Esp),Carreno-Busta P. (Esp),1.0,3-0,6-1,6-2,6-4,,,hard,ATP - SINGLES: Australian Open (Australia)
572df1f8093f27f34cde17b648469aa0,23/01/2020,Nadal R. (Esp),Delbonis F. (Arg),1.0,3-0,6-3,7-6,6-1,,,hard,ATP - SINGLES: Australian Open (Australia)
88fc26cd46a5bdc97779a1d450e77061,21/01/2020,Nadal R. (Esp),Dellien H. (Bol),1.0,3-0,6-2,6-3,6-0,,,hard,ATP - SINGLES: Australian Open (Australia)
11365e829739ff167f566884c53ca84a,11/01/2020,De Minaur A. (Aus),Nadal R. (Esp),-1.0,1-2,6-4,5-7,1-6,,,hard,ATP - SINGLES: ATP Cup (Australia) - Play Offs
7d0e34abdbd8905455fb763d08d12cf6,10/01/2020,Goffin D. (Bel),Nadal R. (Esp),1.0,2-0,6-4,7-6,,,,hard,ATP - SINGLES: ATP Cup (Australia) - Play Offs
aa9d64c1418bde901931dff2836b02cd,08/01/2020,Nadal R. (Esp),Nishioka Y. (Jpn),1.0,2-0,7-6,6-4,,,,hard,ATP - SINGLES: ATP Cup (Australia)
7efcef07c0d2b0fe4783217815fcafa7,06/01/2020,Nadal R. (Esp),Cuevas P. (Uru),1.0,2-0,6-2,6-1,,,,hard,ATP - SINGLES: ATP Cup (Australia)
788d4ef360384b467d7e9ad420f4be8d,04/01/2020,Nadal R. (Esp),Basilashvili N. (Geo),1.0,2-0,6-3,7-5,,,,hard,ATP - SINGLES: ATP Cup (Australia)
de9157b0da91502f7f941eebd5e51f61,19/02/2021,Medvedev D. (Rus),Tsitsipas S. (Gre),1.0,3-0,6-4,6-2,7-5,,,hard,ATP - SINGLES: Australian Open (Australia)
d1eede841efca8cb76ab6135bf0e1299,17/02/2021,Rublev A. (Rus),Medvedev D. (Rus),-1.0,0-3,5-7,3-6,2-6,,,hard,ATP - SINGLES: Australian Open (Australia)
e018a52e16df70d30ec9eb022645f970,15/02/2021,McDonald M. (Usa),Medvedev D. (Rus),-1.0,0-3,4-6,2-6,3-6,,,hard,ATP - SINGLES: Australian Open (Australia)
c511cbc6c501e1f5338e4ed40758d596,13/02/2021,Krajinovic F. (Srb),Medvedev D. (Rus),-1.0,2-3,3-6,3-6,6-4,6-3,0-6,hard,ATP - SINGLES: Australian Open (Australia)
053d8300e7bc4b5af7b2e44bfdc7f048,11/02/2021,Carballes Baena R. (Esp),Medvedev D. (Rus),-1.0,0-3,2-6,5-7,1-6,,,hard,ATP - SINGLES: Australian Open (Australia)
76bb6b6bbab9c2bd61bd67e1d98a98f7,09/02/2021,Pospisil V. (Can),Medvedev D. (Rus),-1.0,0-3,2-6,2-6,4-6,,,hard,ATP - SINGLES: Australian Open (Australia)
84692f0f969ab3181fc200da284a288a,07/02/2021,Medvedev D. (Rus),Berrettini M. (Ita),1.0,2-0,6-4,6-2,,,,hard,ATP - SINGLES: ATP Cup (Australia) - Play Offs
520bf7d8677f559b8d0b3aa41b2d9f4f,06/02/2021,Zverev A. (Ger),Medvedev D. (Rus),-1.0,1-2,6-3,3-6,5-7,,,hard,ATP - SINGLES: ATP Cup (Australia) - Play Offs
c0f16f947ebd9d844792b2528b0ff7e7,03/02/2021,Medvedev D. (Rus),Nishikori K. (Jpn),1.0,2-0,6-2,6-4,,,,hard,ATP - SINGLES: ATP Cup (Australia)
f57c0d72aaaca61dd3112e9d230a8b5b,02/02/2021,Medvedev D. (Rus),Schwartzman D. (Arg),1.0,2-0,7-5,6-3,,,,hard,ATP - SINGLES: ATP Cup (Australia)
22c03457a4122d0f230f5fa569f7ee7c,22/11/2020,Medvedev D. (Rus),Thiem D. (Aut),1.0,2-1,4-6,7-6,6-4,,,hard (indoor),ATP - SINGLES: Finals - London (World) - Play Offs
645fdea958ff153958062effacf47658,20/11/2020,Medvedev D. (Rus),Schwartzman D. (Arg),1.0,2-0,6-3,6-3,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
2419f245aeee09559c54f9801b30ad0f,16/11/2020,Medvedev D. (Rus),Zverev A. (Ger),1.0,2-0,6-3,6-4,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
60155df11463926e90ec6736b600f397,08/11/2020,Zverev A. (Ger),Medvedev D. (Rus),-1.0,1-2,7-5,4-6,1-6,,,hard (indoor),ATP - SINGLES: Paris (France)
fa8333292356ee954178be80f3c00d69,07/11/2020,Medvedev D. (Rus),Raonic M. (Can),1.0,2-0,6-4,7-6,,,,hard (indoor),ATP - SINGLES: Paris (France)
6743420d8af75ed6380bdb340d4bc991,06/11/2020,Schwartzman D. (Arg),Medvedev D. (Rus),-1.0,0-2,3-6,1-6,,,,hard (indoor),ATP - SINGLES: Paris (France)
a97bd73da28c2648066c5e96f1c25cf0,05/11/2020,De Minaur A. (Aus),Medvedev D. (Rus),-1.0,1-2,7-5,2-6,2-6,,,hard (indoor),ATP - SINGLES: Paris (France)
8d8925d9b03cec70b219c7b2320a27e1,04/11/2020,Anderson K. (Rsa),Medvedev D. (Rus),-1.0,0-0,6-6,,,,,hard (indoor),ATP - SINGLES: Paris (France)
4eb8c614452df0ce578a0f2fbcd4fb62,30/10/2020,Anderson K. (Rsa),Medvedev D. (Rus),1.0,2-0,6-4,7-6,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
1301b6822389aa21c4218a1bbd347fb4,29/10/2020,Pospisil V. (Can),Medvedev D. (Rus),-1.0,1-2,6-4,3-6,2-6,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
6b279210b2cc8c674eb9e1c1a177790a,28/10/2020,Jung J. (Tpe),Medvedev D. (Rus),-1.0,0-2,3-6,1-6,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
0501a0f478bc091a42c724e75305d994,15/10/2020,Medvedev D. (Rus),Opelka R. (Usa),-1.0,1-2,6-2,5-7,4-6,,,hard (indoor),ATP - SINGLES: St. Petersburg (Russia)
5cfa7ea63a3bfcf3fb7f0e610166a11e,14/10/2020,Medvedev D. (Rus),Gasquet R. (Fra),1.0,2-1,3-6,6-3,6-0,,,hard (indoor),ATP - SINGLES: St. Petersburg (Russia)
106e4520f3743ea030cf1600d1e092d9,28/09/2020,Medvedev D. (Rus),Fucsovics M. (Hun),-1.0,1-3,4-6,6-7,6-2,1-6,,clay,ATP - SINGLES: French Open (France)
0ceb4bba0648461d72f74c7c12bb2b49,22/09/2020,Medvedev D. (Rus),Humbert U. (Fra),-1.0,0-2,4-6,3-6,,,,clay,ATP - SINGLES: Hamburg (Germany)
d7164e75aaaaf0c0ef60fc343e2e5191,12/09/2020,Medvedev D. (Rus),Thiem D. (Aut),-1.0,0-3,2-6,6-7,6-7,,,hard,ATP - SINGLES: US Open (USA)
749c8c655d778d2c9243ea0fc4197c2b,09/09/2020,Rublev A. (Rus),Medvedev D. (Rus),-1.0,0-3,6-7,3-6,6-7,,,hard,ATP - SINGLES: US Open (USA)
563876369f56c7241f0fd4d5379bd6a8,08/09/2020,Tiafoe F. (Usa),Medvedev D. (Rus),-1.0,0-3,4-6,1-6,0-6,,,hard,ATP - SINGLES: US Open (USA)
b2deb772c89fcd8be52dff696c39c50c,05/09/2020,Wolf J. (Usa),Medvedev D. (Rus),-1.0,0-3,3-6,3-6,2-6,,,hard,ATP - SINGLES: US Open (USA)
d01ba48597b99a4eebb3d492aac08c46,04/09/2020,O'Connell C. (Aus),Medvedev D. (Rus),-1.0,0-3,3-6,2-6,4-6,,,hard,ATP - SINGLES: US Open (USA)
73cf0bf79ce2d090539ac8fd4b197ac6,02/09/2020,Delbonis F. (Arg),Medvedev D. (Rus),-1.0,0-3,1-6,2-6,4-6,,,hard,ATP - SINGLES: US Open (USA)
6d3155f4c3cca1dafa49dd08f1a8e022,26/08/2020,Medvedev D. (Rus),Bautista-Agut R. (Esp),-1.0,1-2,6-1,4-6,3-6,,,hard,ATP - SINGLES: Cincinnati (USA)
401523e640b9efdd425a724861547bb5,25/08/2020,Medvedev D. (Rus),Bedene A. (Slo),1.0,2-0,6-3,6-3,,,,hard,ATP - SINGLES: Cincinnati (USA)
d4057fd6c40c60cd16e1107e46fd919b,24/08/2020,Medvedev D. (Rus),Giron M. (Usa),1.0,2-0,6-4,6-4,,,,hard,ATP - SINGLES: Cincinnati (USA)
8071898c1e229008401804f16121063a,21/02/2020,Medvedev D. (Rus),Simon G. (Fra),-1.0,0-2,4-6,0-6,,,,hard (indoor),ATP - SINGLES: Marseille (France)
35dc3fa7705f9a18dbea9b145fdac83f,20/02/2020,Medvedev D. (Rus),Sinner J. (Ita),1.0,2-1,1-6,6-1,6-2,,,hard (indoor),ATP - SINGLES: Marseille (France)
3b1fb84bbf79c8655647ee7afce793c8,12/02/2020,Medvedev D. (Rus),Pospisil V. (Can),-1.0,0-2,4-6,3-6,,,,hard (indoor),ATP - SINGLES: Rotterdam (Netherlands)
b2c67b966b5b1f70fe6adf02a7f7fdf7,27/01/2020,Medvedev D. (Rus),Wawrinka S. (Sui),-1.0,2-3,2-6,6-2,6-4,6-7,2-6,hard,ATP - SINGLES: Australian Open (Australia)
79b5291513519e76e2dc9f4729815888,25/01/2020,Medvedev D. (Rus),Popyrin Al. (Aus),1.0,3-0,6-4,6-3,6-2,,,hard,ATP - SINGLES: Australian Open (Australia)
