,Date,P1,P2,Result,Score,Set1,Set2,Set3,Set4,Set5,Court_Type,Tournament
9b15e080b79394d433f73b474d511b22,20/12/2020,Ramanathan R. (Ind),Rodriguez C. (Col),1.0,2-0,6-2,6-0,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
9f9b57078deadd7bb4af04c46f28ecfd,19/12/2020,Ramanathan R. (Ind),Boyer D. H. (Usa),1.0,2-0,6-3,6-4,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
a3ad44ce454bbcce4ce5146fbd8eaa31,17/12/2020,Ramanathan R. (Ind),Vashistha A. (Ind),1.0,2-0,6-1,6-2,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
84fb6f60b74e7ef40c41e17d57a53ef9,16/12/2020,Zapp L. (Usa),Ramanathan R. (Ind),-1.0,0-2,1-6,2-6,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
33e57d65b934dce75e3159a83e44a8cc,15/12/2020,Ramanathan R. (Ind),Guzauskas G. (Usa),1.0,2-0,6-3,6-2,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
fa60faae8f0b522184a8c27b7a2d1afd,14/12/2020,Ramanathan R. (Ind),Bernard A. (Usa),1.0,2-1,7-6,3-6,6-1,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
b3fa79d2ed68e01f9a48d5577966e0f2,17/11/2020,Chappell N. (Usa),Ramanathan R. (Ind),1.0,2-0,6-3,6-4,,,,hard,CHALLENGER MEN - SINGLES: Orlando (USA)
399717dbabffbcc985927ac409cea3d0,11/11/2020,Ramanathan R. (Ind),Gabashvili T. (Rus),-1.0,1-2,6-3,4-6,1-6,,,hard,CHALLENGER MEN - SINGLES: Cary (USA)
cea1d03096d3b83c11be6f37b0de1fd7,07/11/2020,Moeller M. (Ger),Ramanathan R. (Ind),-1.0,1-2,6-4,1-6,1-6,,,hard (indoor),CHALLENGER MEN - SINGLES: Eckental (Germany)
6cee101a0182926c6d7a4eaa94142294,04/11/2020,Ramanathan R. (Ind),Moriya H. (Jpn),1.0,2-0,7-6,6-4,,,,hard (indoor),CHALLENGER MEN - SINGLES: Eckental (Germany)
913a33bea373c19d92c9397083e49e22,02/11/2020,Ramanathan R. (Ind),Ajdukovic D. (Cro),1.0,2-0,6-4,6-2,,,,hard (indoor),CHALLENGER MEN - SINGLES: Eckental (Germany)
f7da2a66a14373573a6327ebc2b10cc1,19/10/2020,Ramanathan R. (Ind),Halys Q. (Fra),1.0,2-0,7-6,6-3,,,,hard (indoor),CHALLENGER MEN - SINGLES: Ismaning (Germany)
5a6b166481da245b350a49d2c6e5a215,21/09/2020,Lamasine T. (Fra),Ramanathan R. (Ind),1.0,2-0,7-5,6-2,,,,clay,ATP - SINGLES: French Open (France) - Qualification
7236feca2a1978b7a304f4288e4baae8,11/03/2020,De Jong J. (Ned),Ramanathan R. (Ind),1.0,2-0,6-2,6-2,,,,hard,CHALLENGER MEN - SINGLES: Nur-Sultan (Kazakhstan)
0b8ff0be2625f3d03ab5c4add60b9436,26/02/2020,Li Z. (Chn),Ramanathan R. (Ind),1.0,2-0,7-6,7-6,,,,hard (indoor),CHALLENGER MEN - SINGLES: Columbus (USA)
84c78a57fcd0ebf2727aef2e7c2c0e34,19/02/2020,Clezar G. (Bra),Ramanathan R. (Ind),1.0,2-1,7-6,4-6,6-4,,,hard,CHALLENGER MEN - SINGLES: Morelos (Mexico)
2596f8d4faa5a7db8587aa09484b62b7,12/02/2020,Ramanathan R. (Ind),Shanmugam A. (Ind),1.0,2-0,6-1,6-3,,,,hard,CHALLENGER MEN - SINGLES: Bengaluru (India)
b74d041a475263327a1439c8ce6d17d8,21/01/2020,Ramanathan R. (Ind),Aragone J. (Usa),1.0,1-0,7-6,1-0,,,,hard,CHALLENGER MEN - SINGLES: Bangkok 2 (Thailand)
697a0f8fa0a7b77279fd99e674bc7d2e,15/02/2021,Clarke J. (Gbr),Kuzmanov D. (Bul),-1.0,1-2,7-5,3-6,6-7,,,hard,CHALLENGER MEN - SINGLES: Potchefstroom 2 (South Africa)
6fccb1f2f2d600d68f63820e9bae6df2,09/02/2021,Clarke J. (Gbr),Blanch U. (Usa),-1.0,0-2,6-7,4-6,,,,hard,CHALLENGER MEN - SINGLES: Potchefstroom 2 (South Africa)
2961cc9375bc236fdc89791f440c4e12,17/01/2021,Jaziri M. (Tun),Clarke J. (Gbr),-1.0,1-2,6-7,6-2,3-6,,,hard,CHALLENGER MEN - SINGLES: Istanbul (Turkey) - Qualification
900e7cf94dff65df7ef3271a76d0d49d,10/01/2021,Wu Tung-Lin (Tpe),Clarke J. (Gbr),1.0,2-0,6-2,6-4,,,,hard,ATP - SINGLES: Australian Open (Australia) - Qualification
cbe0af2b8de1649d3fbb7a3ee0cc7bb2,22/12/2020,Draper J. (Gbr),Clarke J. (Gbr),1.0,2-0,6-4,6-1,,,,x,EXHIBITION - MEN: Others matches (World)
20da6c14b5c5a765162bd5539f2c5f9a,16/11/2020,Clarke J. (Gbr),Prinoth P. (Ita),1.0,2-1,6-3,6-71,6-3,,,hard (indoor),CHALLENGER MEN - SINGLES: Ortisei (Italy)
