,Name,Nat,Pts,Tournaments,Link,Nickname
48,Gasquet Richard,France,"1,155",27,https://www.tennis24.com/player/gasquet-richard/GxY5TctR,Gasquet R. (Fra)
49,Thompson Jordan,Australia,"1,113",28,https://www.tennis24.com/player/thompson-jordan/8pwfoWMP,Thompson J. (Aus)
50,Edmund Kyle,United Kingdom,"1,095",27,https://www.tennis24.com/player/edmund-kyle/E3lS9LXS,Edmund K. (Gbr)
51,Sandgren Tennys,USA,"1,091",30,https://www.tennis24.com/player/sandgren-tennys/txoRJR0E,Sandgren T. (Usa)
52,Querrey Sam,USA,"1,085",18,https://www.tennis24.com/player/querrey-sam/bV2yMYME,Querrey S. (Usa)
53,Paul Tommy,USA,"1,080",30,https://www.tennis24.com/player/paul-tommy/pd3ye1BS,Paul T. (Usa)
54,Andujar-Alba Pablo,Spain,"1,079",35,https://www.tennis24.com/player/andujar-alba-pablo/Glvq9NkN,Andujar-Alba P. (Esp)
55,Davidovich Fokina Alejandro,Spain,"1,078",31,https://www.tennis24.com/player/davidovich-fokina-alejandro/0zQXLfz4,Davidovich Fokina A. (Esp)
56,Lopez Feliciano,Spain,"1,078",25,https://www.tennis24.com/player/lopez-feliciano/6NnuYxEB,Lopez F. (Esp)
57,Fucsovics Marton,Hungary,"1,072",31,https://www.tennis24.com/player/fucsovics-marton/GhQFzFli,Fucsovics M. (Hun)
58,Djere Laslo,Serbia,"1,068",27,https://www.tennis24.com/player/djere-laslo/4GGnypTh,Djere L. (Srb)
59,Bedene Aljaz,Slovenia,"1,065",25,https://www.tennis24.com/player/bedene-aljaz/AaLcMmnK,Bedene A. (Slo)
60,Nishioka Yoshihito,Japan,"1,062",27,https://www.tennis24.com/player/nishioka-yoshihito/neAMoGXa,Nishioka Y. (Jpn)
61,Tiafoe Frances,USA,"1,040",34,https://www.tennis24.com/player/tiafoe-frances/AHDLJaph,Tiafoe F. (Usa)
62,Travaglia Stefano,Italy,"1,024",39,https://www.tennis24.com/player/travaglia-stefano/KAYoXgme,Travaglia S. (Ita)
63,Chardy Jeremy,France,"1,020",27,https://www.tennis24.com/player/chardy-jeremy/8Qy7Nsg0,Chardy J. (Fra)
64,Norrie Cameron,United Kingdom,"1,015",32,https://www.tennis24.com/player/norrie-cameron/pvzhJGY8,Norrie C. (Gbr)
65,Tsonga Jo-Wilfried,France,"1,015",22,https://www.tennis24.com/player/tsonga-jo-wilfried/xnZ1UwRK,Tsonga J-W. (Fra)
66,Pospisil Vasek,Canada,"1,013",23,https://www.tennis24.com/player/pospisil-vasek/xdHXH2G1,Pospisil V. (Can)
67,Simon Gilles,France,990,34,https://www.tennis24.com/player/simon-gilles/nNVuYUJA,Simon G. (Fra)
68,Vesely Jiri,Czech Republic,988,37,https://www.tennis24.com/player/vesely-jiri/MZOsgqwe,Vesely J. (Cze)
69,Verdasco Fernando,Spain,985,28,https://www.tennis24.com/player/verdasco-fernando/hfRTC1Nu,Verdasco F. (Esp)
70,Koepfer Dominik,Germany,966,27,https://www.tennis24.com/player/koepfer-dominik/AmrI05YH,Koepfer D. (Ger)
71,Moutet Corentin,France,963,31,https://www.tennis24.com/player/moutet-corentin/bX0EWcV9,Moutet C. (Fra)
72,Cuevas Pablo,Uruguay,962,29,https://www.tennis24.com/player/cuevas-pablo/S6bHHtiI,Cuevas P. (Uru)
73,Monteiro Thiago,Brazil,929,40,https://www.tennis24.com/player/monteiro-thiago/YqLucTlj,Monteiro T. (Bra)
74,Berankis Ricardas,Lithuania,909,23,https://www.tennis24.com/player/berankis-ricardas/n5UoA5NP,Berankis R. (Ltu)
75,Albot Radu,Moldova,907,35,https://www.tennis24.com/player/albot-radu/OnoPKE7m,Albot R. (Mda)
76,Caruso Salvatore,Italy,898,38,https://www.tennis24.com/player/caruso-salvatore/UXJlgz7L,Caruso S. (Ita)
77,Giron Marcos,USA,889,32,https://www.tennis24.com/player/giron-marcos/OWOgryOk,Giron M. (Usa)
78,Pouille Lucas,France,887,24,https://www.tennis24.com/player/pouille-lucas/ro2eiAkm,Pouille L. (Fra)
79,Johnson Steve,USA,880,30,https://www.tennis24.com/player/johnson-steve/fD42B7Fh,Johnson S. (Usa)
80,Kwon Soonwoo,South Korea,877,31,https://www.tennis24.com/player/kwon-soon-woo/pKuUGzw2,Kwon Soonwoo (Kor)
81,Harris Lloyd George,South Africa,873,27,https://www.tennis24.com/player/harris-lloyd-george/YyK3wlb0,
82,Gerasimov Egor,Belarus,854,28,https://www.tennis24.com/player/gerasimov-egor/v5mY2VHL,Gerasimov E. (Blr)
83,Delbonis Federico,Argentina,851,32,https://www.tennis24.com/player/delbonis-federico/E10L2won,Delbonis F. (Arg)
84,Ruusuvuori Emil,Finland,851,37,https://www.tennis24.com/player/ruusuvuori-emil/MRVzCh5U,Ruusuvuori E. (Fin)
85,Anderson Kevin,South Africa,845,19,https://www.tennis24.com/player/anderson-kevin/2Nq3ecTS,Anderson K. (Rsa)
86,Cecchinato Marco,Italy,838,38,https://www.tennis24.com/player/cecchinato-marco/4zpGaSnG,Cecchinato M. (Ita)
87,Londero Juan Ignacio,Argentina,832,28,https://www.tennis24.com/player/londero-juan-ignacio/6HoqESC2,Londero J. I. (Arg)
88,Martinez Portero Pedro,Spain,830,36,https://www.tennis24.com/player/martinez-portero-pedro/WtiN88eD,Martinez P. (Esp)
89,Herbert Pierre-Hugues,France,822,34,https://www.tennis24.com/player/herbert-pierre-hugues/vD0zNRBM,Herbert P. (Fra)
90,Ymer Mikael,Sweden,820,24,https://www.tennis24.com/player/ymer-mikael/xI6dgV0b,Ymer M. (Swe)
91,Korda Sebastian,USA,810,31,https://www.tennis24.com/player/korda-sebastian/SYklCTPO,Korda S. (Usa)
92,Gombos Norbert,Slovakia,797,33,https://www.tennis24.com/player/gombos-norbert/bDFSqjSo,Gombos N. (Svk)
93,Kukushkin Mikhail,Kazakhstan,796,30,https://www.tennis24.com/player/kukushkin-mikhail/OSUB7Jy0,Kukushkin M. (Kaz)
94,Coria Federico,Argentina,790,44,https://www.tennis24.com/player/coria-federico/vJdE1Bg7,Coria F. (Arg)
95,Carballes Baena Roberto,Spain,786,39,https://www.tennis24.com/player/carballes-baena-roberto/hj8fIZPg,Carballes Baena R. (Esp)
96,Balazs Attila,Hungary,784,27,https://www.tennis24.com/player/balazs-attila/0AakVs2l,Balazs A. (Hun)
97,Sousa Joao,Portugal,782,31,https://www.tennis24.com/player/sousa-joao/dQdhXosG,Sousa J. (Por)
98,Mager Gianluca,Italy,770,36,https://www.tennis24.com/player/mager-gianluca/trJVIrf4,Mager G. (Ita)
99,Duckworth James,Australia,756,32,https://www.tennis24.com/player/duckworth-james/2JWHPUUb,Duckworth J. (Aus)
100,Martin Andrej,Slovakia,753,38,https://www.tennis24.com/player/martin-andrej/UXiCkoiq,Martin A. (Svk)
101,Novak Dennis,Austria,752,30,https://www.tennis24.com/player/novak-dennis/dCXcom4e,Novak D. (Aut)
102,Kohlschreiber Philipp,Germany,749,26,https://www.tennis24.com/player/kohlschreiber-philipp/UguOwYIu,Kohlschreiber P. (Ger)
103,Munar Jaume,Spain,745,42,https://www.tennis24.com/player/munar-jaume/zZieQm4D,Munar J. (Esp)
104,Hanfmann Yannick,Germany,738,32,https://www.tennis24.com/player/hanfmann-yannick/zLJYYbhm,Hanfmann Y. (Ger)
105,Seppi Andreas,Italy,726,33,https://www.tennis24.com/player/seppi-andreas/xWzjdVdP,Seppi A. (Ita)
106,Sugita Yuichi,Japan,723,36,https://www.tennis24.com/player/sugita-yuichi/n1fBowmS,Sugita Y. (Jpn)
107,Sousa Pedro,Portugal,704,37,https://www.tennis24.com/player/sousa-pedro/Ua0dXxeO,Sousa P. (Por)
108,Uchiyama Yasutaka,Japan,701,29,https://www.tennis24.com/player/uchiyama-yasutaka/vD2Ddcni,Uchiyama Y. (Jpn)
109,Majchrzak Kamil,Poland,690,33,https://www.tennis24.com/player/majchrzak-kamil/fPZlNrGS,Majchrzak K. (Pol)
110,Ivashka Ilya,Belarus,681,27,https://www.tennis24.com/player/ivashka-ilya/nkLki9VA,Ivashka I. (Blr)
111,Dellien Hugo,Bolivia,669,33,https://www.tennis24.com/player/dellien-hugo/fkLRaqYe,Dellien H. (Bol)
112,Barrere Gregoire,France,655,28,https://www.tennis24.com/player/barrere-gregoire/GMcjaMop,Barrere G. (Fra)
113,Popyrin Alexei,Australia,643,33,https://www.tennis24.com/player/popyrin-alexei/fJjLpuNq,Popyrin Al. (Aus)
114,Musetti Lorenzo,Italy,630,44,https://www.tennis24.com/player/musetti-lorenzo/xtH2ODVI,Musetti L. (Ita)
115,Galan Riveros Daniel Elahi,Colombia,619,37,https://www.tennis24.com/player/galan-riveros-daniel-elahi/jgzV6009,Galan Riveros D. E. (Col)
116,O'Connell Christopher,Australia,613,39,https://www.tennis24.com/player/o-connell-christopher/SptFeDiE,O'Connell C. (Aus)
117,Kudla Denis,USA,608,34,https://www.tennis24.com/player/kudla-denis/QFBrBWZf,Kudla D. (Usa)
118,Seyboth Wild Thiago,Brazil,605,35,https://www.tennis24.com/player/seyboth-wild-thiago/pO9zJCv1,Seyboth Wild T. (Bra)
119,Daniel Taro,Japan,602,37,https://www.tennis24.com/player/daniel-taro/h4fpmGci,Daniel T. (Jpn)
120,Murray Andy,United Kingdom,595,11,https://www.tennis24.com/player/murray-andy/tYvP6939,Murray A. (Gbr)
121,Dzumhur Damir,Bosnia and Herzegovina,588,34,https://www.tennis24.com/player/dzumhur-damir/hMrlbuuQ,Dzumhur D. (Bih)
122,Donskoy Evgeny,Russia,585,31,https://www.tennis24.com/player/donskoy-evgeny/CrE5LqAg,Donskoy E. (Rus)
123,Hoang Antoine,France,575,40,https://www.tennis24.com/player/hoang-antoine/ABdsnph9,Hoang A. (Fra)
124,Bonzi Benjamin,France,573,37,https://www.tennis24.com/player/bonzi-benjamin/M5OpGHqH,Bonzi B. (Fra)
125,Stebe Cedrik-Marcel,Germany,555,28,https://www.tennis24.com/player/stebe-cedrik-marcel/dO5M6vuA,Stebe C. (Ger)
126,Alcaraz Carlos,Spain,554,22,https://www.tennis24.com/player/alcaraz-garfia-carlos/UkhgIFEq,Alcaraz C. (Esp)
127,Kovalik Jozef,Slovakia,548,35,https://www.tennis24.com/player/kovalik-jozef/dAbTjNiB,Kovalik J. (Svk)
128,Polmans Marc,Australia,546,34,https://www.tennis24.com/player/polmans-marc/2TDsBEcH,Polmans M. (Aus)
129,Bagnis Facundo,Argentina,546,40,https://www.tennis24.com/player/bagnis-facundo/WpBznQ9s,Bagnis F. (Arg)
130,Taberner Carlos,Spain,541,35,https://www.tennis24.com/player/taberner-carlos/EcdVVulk,Taberner C. (Esp)
131,Rinderknech Arthur,France,536,44,https://www.tennis24.com/player/rinderknech-arthur/pIxZZsof,Rinderknech A. (Fra)
132,Gaio Federico,Italy,526,48,https://www.tennis24.com/player/gaio-federico/fFaiL8VD,Gaio F. (Ita)
133,Laaksonen Henri,Switzerland,520,35,https://www.tennis24.com/player/laaksonen-henri/zBpszmMu,Laaksonen H. (Sui)
134,Cerundolo Francisco,Argentina,520,38,https://www.tennis24.com/player/cerundolo-francisco/lWQ3G6gB,Cerundolo F. (Arg)
135,Wolf Jeffrey John,USA,519,23,https://www.tennis24.com/player/wolf-jeffrey-john/f5Zc3wW6,Wolf J. (Usa)
136,Altmaier Daniel,Germany,516,43,https://www.tennis24.com/player/altmaier-daniel/IPR8h9gM,Altmaier D. (Ger)
137,Gunneswaran Prajnesh,India,516,33,https://www.tennis24.com/player/gunneswaran-prajnesh/GxlEXaNd,Gunneswaran P. (Ind)
138,McDonald Mackenzie,USA,515,23,https://www.tennis24.com/player/mcdonald-mackenzie/WWi3O0v6,McDonald M. (Usa)
139,Soeda Go,Japan,510,26,https://www.tennis24.com/player/soeda-go/U1FaezAC,Soeda G. (Jpn)
140,Nakashima Brandon,USA,508,24,https://www.tennis24.com/player/nakashima-brandon/ETGnbrpH,Nakashima B. (Usa)
141,Mayer Leonardo,Argentina,504,26,https://www.tennis24.com/player/mayer-leonardo/fZ4BNf4Q,Mayer L. (Arg)
142,Jung Jason,Taiwan,500,33,https://www.tennis24.com/player/jung-jason/dr6X4r9r,Jung J. (Tpe)
143,Gojowczyk Peter,Germany,491,30,https://www.tennis24.com/player/gojowczyk-peter/8pY23HI2,Gojowczyk P. (Ger)
144,Van De Zandschulp Botic,Netherlands,489,35,https://www.tennis24.com/player/van-de-zandschulp-botic/YwiLpILD,Van De Zandschulp B. (Ned)
145,Zapata Miralles Bernabe,Spain,484,40,https://www.tennis24.com/player/zapata-miralles-bernabe/db9LlbLI,Zapata Miralles B. (Esp)
146,Huesler Marc-Andrea,Switzerland,482,38,https://www.tennis24.com/player/huesler-marc-andrea/4YcyuHl1,Huesler M. (Sui)
147,Nagal Sumit,India,480,31,https://www.tennis24.com/player/nagal-sumit/46aHbwDc,Nagal S. (Ind)
148,Milojevic Nikola,Serbia,479,30,https://www.tennis24.com/player/milojevic-nikola/th3xL6ko,Milojevic N. (Srb)
149,Otte Oscar,Germany,474,35,https://www.tennis24.com/player/otte-oscar/xMUA2R35,Otte O. (Ger)
150,Karlovic Ivo,Croatia,464,21,https://www.tennis24.com/player/karlovic-ivo/lzkqM2Y0,Karlovic I. (Cro)
151,Rodionov Jurij,Austria,463,41,https://www.tennis24.com/player/rodionov-jurij/CKjcTLz1,Rodionov J. (Aut)
152,Safwat Mohamed,Egypt,463,46,https://www.tennis24.com/player/safwat-mohamed/MDyQME8o,Safwat M. (Egy)
153,Petrovic Danilo,Serbia,458,31,https://www.tennis24.com/player/petrovic-danilo/vaHfmpZa,Petrovic D. (Srb)
154,Lorenzi Paolo,Italy,457,41,https://www.tennis24.com/player/lorenzi-paolo/8MVbgF3n,Lorenzi P. (Ita)
155,Cressy Maxime,USA,454,34,https://www.tennis24.com/player/cressy-maxime/MaNZAMHS,Cressy M. (Usa)
156,Klahn Bradley,USA,444,28,https://www.tennis24.com/player/klahn-bradley/tpwrq93s,Klahn B. (Usa)
157,Giustino Lorenzo,Italy,444,45,https://www.tennis24.com/player/giustino-lorenzo/8OSeMYq1,Giustino L. (Ita)
158,Klizan Martin,Slovakia,442,30,https://www.tennis24.com/player/klizan-martin/U5DFj5Xg,Klizan M. (Svk)
159,Griekspoor Tallon,Netherlands,440,30,https://www.tennis24.com/player/griekspoor-tallon/f3zfMU5i,Griekspoor T. (Ned)
160,Rola Blaz,Slovenia,433,36,https://www.tennis24.com/player/rola-blaz/zsm1E6Jl,Rola B. (Slo)
161,Gaston Hugo,France,425,33,https://www.tennis24.com/player/gaston-hugo/hGqnSub7,Gaston H. (Fra)
162,Giannessi Alessandro,Italy,423,32,https://www.tennis24.com/player/giannessi-alessandro/AgU0tmZ6,Giannessi A. (Ita)
163,Safiullin Roman,Russia,420,37,https://www.tennis24.com/player/safiullin-roman/IBpggNog,Safiullin R. (Rus)
164,Tabilo Alejandro,Chile,419,38,https://www.tennis24.com/player/tabilo-alejandro/YgVnM5vO,Tabilo A. (Chi)
165,Del Potro Juan-Martin,Argentina,415,12,https://www.tennis24.com/player/del-potro-juan-martin/Gz6r1gS0,
166,Broady Liam,United Kingdom,415,37,https://www.tennis24.com/player/broady-liam/UTu7grNI,Broady L. (Gbr)
167,Varillas Juan Pablo,Peru,414,38,https://www.tennis24.com/player/varillas-juan-pablo/SdnbvebA,Varillas J. P. (Per)
168,Ofner Sebastian,Austria,410,37,https://www.tennis24.com/player/ofner-sebastian/h6vs3iR2,Ofner S. (Aut)
169,Horansky Filip,Slovakia,405,38,https://www.tennis24.com/player/horansky-filip/IeLV0JCT,Horansky F. (Svk)
170,Maden Yannick,Germany,404,39,https://www.tennis24.com/player/maden-yannick/xImSftuq,Maden Y. (Ger)
171,Gomez Emilio,Ecuador,402,39,https://www.tennis24.com/player/gomez-emilio/UFl5WCtj,Gomez E. (Ecu)
172,Machac Tomas,Czech Republic,401,32,https://www.tennis24.com/player/machac-tomas/S44E7UYr,Machac T. (Cze)
173,Bolt Alex,Australia,400,24,https://www.tennis24.com/player/bolt-alex/APTOWTED,Bolt A. (Aus)
174,Zhang Zhizhen,China,397,24,https://www.tennis24.com/player/zhang-zhizhen/IFKEHRGG,Zhang Z. (Chn)
175,Marchenko Illya,Ukraine,397,34,https://www.tennis24.com/player/marchenko-illya/l6pbGLcJ,Marchenko I. (Ukr)
176,Fabbiano Thomas,Italy,396,27,https://www.tennis24.com/player/fabbiano-thomas/nkts8tUB,Fabbiano T. (Ita)
177,Mmoh Michael,USA,393,24,https://www.tennis24.com/player/mmoh-michael/dCvHbO15,Mmoh M. (Usa)
178,Chung Hyeon,South Korea,391,15,https://www.tennis24.com/player/chung-hyeon/C48I3FZ3,Chung H. (Kor)
179,Popko Dmitry,Kazakhstan,391,45,https://www.tennis24.com/player/popko-dmitry/vaYnE8tL,Popko D. (Kaz)
180,Andreozzi Guido,Argentina,389,19,https://www.tennis24.com/player/andreozzi-guido/jsEQiWCq,Andreozzi G. (Arg)
181,Coppejans Kimmer,Belgium,387,37,https://www.tennis24.com/player/coppejans-kimmer/67EJxseJ,Coppejans K. (Bel)
182,Rosol Lukas,Czech Republic,387,36,https://www.tennis24.com/player/rosol-lukas/pllyVfHb,Rosol L. (Cze)
183,Ferreira Silva Frederico,Portugal,383,35,https://www.tennis24.com/player/silva-frederico-ferreira/hC8yrUdb,Ferreira Silva F. (Por)
184,Domingues Joao,Portugal,378,32,https://www.tennis24.com/player/domingues-joao/W27uslC4,Domingues J. (Por)
185,Gulbis Ernests,Latvia,376,27,https://www.tennis24.com/player/gulbis-ernests/QH8Kup2r,Gulbis E. (Lat)
186,Torpegaard Mikael,Denmark,376,30,https://www.tennis24.com/player/torpegaard-mikael/fafG2Abi,Torpegaard M. (Den)
187,Granollers-Pujol Marcel,Spain,367,16,https://www.tennis24.com/player/granollers-pujol-marcel/2B5Hvd1l,
188,Haase Robin,Netherlands,366,31,https://www.tennis24.com/player/haase-robin/2Txcqx1b,Haas T. (Ger)
189,Diez Steven,Canada,365,38,https://www.tennis24.com/player/diez-steven/0ltc7yno,Diez S. (Can)
190,Marcora Roberto,Italy,362,42,https://www.tennis24.com/player/marcora-roberto/YR7LyrJS,Marcora R. (Ita)
191,Stakhovsky Sergiy,Ukraine,359,35,https://www.tennis24.com/player/stakhovsky-sergiy/CYUHECXp,Stakhovsky S. (Ukr)
192,Vilella Martinez Mario,Spain,359,35,https://www.tennis24.com/player/vilella-martinez-mario/falxW8s3,Vilella M. M. (Esp)
193,Muller Alexandre,France,358,36,https://www.tennis24.com/player/muller-alexandre/nLLdS9q0,Muller A. (Fra)
194,Istomin Denis,Uzbekistan,358,34,https://www.tennis24.com/player/istomin-denis/tWyNGHvd,Istomin D. (Uzb)
195,Lacko Lukas,Slovakia,358,29,https://www.tennis24.com/player/lacko-lukas/f5YFwnHc,Lacko L. (Svk)
196,Troicki Viktor,Serbia,353,27,https://www.tennis24.com/player/troicki-viktor/rqvYHHbs,Troicki V. (Srb)
197,Bemelmans Ruben,Belgium,353,31,https://www.tennis24.com/player/bemelmans-ruben/f5NrxGlc,Bemelmans R. (Bel)
198,Menezes Joao,Brazil,353,38,https://www.tennis24.com/player/menezes-joao/GGshOstg,Menezes J. (Bra)
199,Ramanathan Ramkumar,India,352,43,https://www.tennis24.com/player/ramanathan-ramkumar/WMML87Fg,Ram R. (Usa)
200,Clarke Jay,United Kingdom,345,30,https://www.tennis24.com/player/clarke-jay/pWyUazPi,Clarke J. (Gbr)
201,Krueger Mitchell,USA,345,33,https://www.tennis24.com/player/krueger-mitchell/j9Kf20T0,Krueger M. (Usa)
202,Ymer Elias,Sweden,344,29,https://www.tennis24.com/player/ymer-elias/GhVfMwlD,Ymer E. (Swe)
203,Ito Tatsuma,Japan,342,23,https://www.tennis24.com/player/ito-tatsuma/vZejLcgi,Ito T. (Jpn)
204,Vukic Aleksandar,Australia,341,36,https://www.tennis24.com/player/vukic-aleksandar/O2CmIROi,Vukic A. (Aus)
205,Marterer Maximilian,Germany,331,24,https://www.tennis24.com/player/marterer-maximilian/S8iqjxWH,Marterer M. (Ger)
206,Escobedo Ernesto,USA,331,27,https://www.tennis24.com/player/escobedo-ernesto/4l0IRLGR,Escobedo E. (Usa)
207,Ilkel Cem,Turkey,324,38,https://www.tennis24.com/player/ilkel-cem/pxWMQw75,Ilkel C. (Tur)
